Civilité;Nom;Prénom;Mandat;Circonscription;Département;Candidat;"Date de publication"
M.;ANGLADE;Jean-Louis;Maire;Cadéac;Hautes-Pyrénées;"LASSALLE Jean";03/02/2022
M.;CASTEROT;Jean-Claude;Maire;Geu;Hautes-Pyrénées;"LASSALLE Jean";03/02/2022
M.;DOSSAT;Christian;Maire;Cizos;Hautes-Pyrénées;"LASSALLE Jean";03/02/2022
M.;MOUNIQ;Jean;Maire;Aragnouet;Hautes-Pyrénées;"LASSALLE Jean";03/02/2022
M.;FAUTH;Christian;Maire;Petersbach;Bas-Rhin;"LASSALLE Jean";03/02/2022
M.;SCHMITT;Guy;Maire;Soultz-les-Bains;Bas-Rhin;"LASSALLE Jean";03/02/2022
M.;THIELEN;Pierre;Maire;Gresswiller;Bas-Rhin;"LASSALLE Jean";03/02/2022
M.;CACHOT;Gérard;Maire;Raze;Haute-Saône;"LASSALLE Jean";03/02/2022
M.;HASENFRATZ;Roger;Maire;Belverne;Haute-Saône;"LASSALLE Jean";03/02/2022
M.;MARSOT;Gilles;Maire;"Les Aynans";Haute-Saône;"LASSALLE Jean";03/02/2022
M.;NUGUE;"Dominique Pierre";Maire;Hautefond;Saône-et-Loire;"LASSALLE Jean";03/02/2022
M.;RAGEOT;Pierre;Maire;Allerey-sur-Saône;Saône-et-Loire;"LASSALLE Jean";03/02/2022
M.;CHESNEAU;Pascal;Maire;Doucelles;Sarthe;"LASSALLE Jean";03/02/2022
M.;CHOTARD;Christian;Maire;Pirmil;Sarthe;"LASSALLE Jean";03/02/2022
M.;LARCHEVEQUE;Gérard;Maire;Sauchay;Seine-Maritime;"LASSALLE Jean";03/02/2022
M.;DEYSSON;François;Maire;Villecerf;Seine-et-Marne;"LASSALLE Jean";03/02/2022
M.;BATTEUX;Jean-Claude;Maire;Saint-Hilarion;Yvelines;"LASSALLE Jean";03/02/2022
M.;JOUVE;Michel;Maire;Flassan;Vaucluse;"LASSALLE Jean";03/02/2022
M.;SOULARD;Jean-Marie;Maire;Bessay;Vendée;"LASSALLE Jean";03/02/2022
M.;SORET;Hervé;Maire;Fouchécourt;Vosges;"LASSALLE Jean";03/02/2022
M.;GAUJARD;Jean-Louis;Maire;Villiers-Louis;Yonne;"LASSALLE Jean";03/02/2022
M.;JAN;Bruno;Maire;Villecien;Yonne;"LASSALLE Jean";03/02/2022
Mme;PORQUET;Céline;"Conseillère régionale";Auvergne-Rhône-Alpes;Ardèche;"LE PEN Marine";03/02/2022
M.;MASSON;Alain;Maire;Précy-Notre-Dame;Aube;"LE PEN Marine";03/02/2022
Mme;PARODI;Clémence;"Conseillère régionale";"Provence-Alpes-Cote D'Azur";Bouches-du-Rhône;"LE PEN Marine";03/02/2022
M.;VIZIER;Alain;"Conseiller régional";"Provence-Alpes-Cote D'Azur";Bouches-du-Rhône;"LE PEN Marine";03/02/2022
M.;BRODU;Fabien;Maire;Annezay;Charente-Maritime;"LE PEN Marine";03/02/2022
M.;"DE LA TOCNAYE";Thibaut;"Conseiller régional";"Centre-Val De Loire";Cher;"LE PEN Marine";03/02/2022
M.;DUPUIS;Guy;Maire;Crugey;Côte-d'Or;"LE PEN Marine";03/02/2022
M.;"MELLON (DE)";Gérard;"Conseiller régional";Bretagne;Côtes-d'Armor;"LE PEN Marine";03/02/2022
M.;COLOMBIER;Jacques;"Conseiller régional";Nouvelle-Aquitaine;Dordogne;"LE PEN Marine";03/02/2022
M.;POMEDIO;Lucien;Maire;Saint-Perdoux;Dordogne;"LE PEN Marine";03/02/2022
Mme;THOMAÏDIS;Renée;"Conseillère régionale";Bretagne;Finistère;"LE PEN Marine";03/02/2022
Mme;WUNSCH;Mylène;"Conseillère régionale";"Centre-Val De Loire";Indre;"LE PEN Marine";03/02/2022
M.;FABRE;Frédéric;"Conseiller régional";"Grand Est";Haute-Marne;"LE PEN Marine";03/02/2022
M.;NICOLE;Marc;Maire;Baudonvilliers;Meuse;"LE PEN Marine";03/02/2022
M.;ENGELMANN;Fabien;Maire;Hayange;Moselle;"LE PEN Marine";03/02/2022
M.;PFEFFER;Kévin;"Conseiller régional";"Grand Est";Moselle;"LE PEN Marine";03/02/2022
Mme;PLANCKE;Patricia;"Conseillère régionale";Hauts-De-France;Nord;"LE PEN Marine";03/02/2022
M.;BOHAIN;Christian;Maire;Vidai;Orne;"LE PEN Marine";03/02/2022
Mme;BOMMART;Émilie;"Conseillère régionale";Hauts-De-France;Pas-de-Calais;"LE PEN Marine";03/02/2022
M.;FRAPPE;Thierry;"Maire délégué d'une commune associée ou d'une commune déléguée";Bruay-la-Buissière;Pas-de-Calais;"LE PEN Marine";03/02/2022
M.;PAJOT;Ludovic;Maire;Bruay-la-Buissière;Pas-de-Calais;"LE PEN Marine";03/02/2022
M.;MONTEIL;Olivier;"Conseiller régional";Occitanie;Hautes-Pyrénées;"LE PEN Marine";03/02/2022
M.;ALIOT;Louis;Maire;Perpignan;Pyrénées-Orientales;"LE PEN Marine";03/02/2022
M.;BADER;Jean-Claude;"Conseiller régional";"Grand Est";Bas-Rhin;"LE PEN Marine";03/02/2022
Mme;ESCHENMANN;Valérie;"Conseillère régionale";"Grand Est";Bas-Rhin;"LE PEN Marine";03/02/2022
M.;TSCHAEN;Pascal;"Conseiller régional";"Grand Est";Haut-Rhin;"LE PEN Marine";03/02/2022
M.;MÉTÉRY;Alain;Maire;Huilly-sur-Seille;Saône-et-Loire;"LE PEN Marine";03/02/2022
M.;DILLENSCHNEIDER;Gérard;Maire;Saint-Pierre-de-Curtille;Savoie;"LE PEN Marine";03/02/2022
M.;BONNET;Yves;"Conseiller régional";Normandie;Seine-Maritime;"LE PEN Marine";03/02/2022
Mme;DEMONCHY;Martine;"Conseillère régionale";Île-De-France;Seine-et-Marne;"LE PEN Marine";03/02/2022
M.;FOURNIER;Jean-Louis;Maire;Saint-Illiers-la-Ville;Yvelines;"LE PEN Marine";03/02/2022
M.;MORIN;Laurent;"Conseiller régional";Île-De-France;Yvelines;"LE PEN Marine";03/02/2022
M.;OLIVIER;Philippe;"Représentant français au Parlement européen";;"Parlement européen";"LE PEN Marine";03/02/2022
Mme;GIVERNET;Olga;Députée;"3ème circonscription";Ain;"MACRON Emmanuel";03/02/2022
M.;TROMPILLE;Stéphane;Député;"4ème circonscription";Ain;"MACRON Emmanuel";03/02/2022
M.;DELATTE;Marc;Député;"4ème circonscription";Aisne;"MACRON Emmanuel";03/02/2022
M.;EUGÈNE;Sébastien;Maire;Château-Thierry;Aisne;"MACRON Emmanuel";03/02/2022
Mme;FERNANDEZ;Françoise;Maire;Dravegny;Aisne;"MACRON Emmanuel";03/02/2022
M.;NIVART;Jean-Luc;Maire;Vuillery;Aisne;"MACRON Emmanuel";03/02/2022
Mme;PILLOY;Françoise;Maire;Braye-en-Laonnois;Aisne;"MACRON Emmanuel";03/02/2022
Mme;VANNOBEL;Bernadette;"Conseillère régionale";Hauts-De-France;Aisne;"MACRON Emmanuel";03/02/2022
Mme;PEYROL;Bénédicte;Députée;"3ème circonscription";Allier;"MACRON Emmanuel";03/02/2022
Mme;VANCEUNEBROCK-MIALON;Laurence;Députée;"2ème circonscription";Allier;"MACRON Emmanuel";03/02/2022
M.;CAMILLERI;Claude;Maire;Castellet-lès-Sausses;Alpes-de-Haute-Provence;"MACRON Emmanuel";03/02/2022
M.;CASTANER;Christophe;Député;"2ème circonscription";Alpes-de-Haute-Provence;"MACRON Emmanuel";03/02/2022
Mme;COSSERAT;Sandrine;Maire;Volonne;Alpes-de-Haute-Provence;"MACRON Emmanuel";03/02/2022
M.;DUBUISSON;Gérard;Maire;Thèze;Alpes-de-Haute-Provence;"MACRON Emmanuel";03/02/2022
M.;BRIOULLE;Jean-Pierre;Maire;Saint-Pierre-d'Argençon;Hautes-Alpes;"MACRON Emmanuel";03/02/2022
Mme;BOETTI-FORESTIER;Laurence;"Conseillère régionale";"Provence-Alpes-Cote D'Azur";Alpes-Maritimes;"MACRON Emmanuel";03/02/2022
M.;BOTELLA;Georges;Maire;Théoule-sur-Mer;Alpes-Maritimes;"MACRON Emmanuel";03/02/2022
M.;DOMBREVAL;Loïc;Député;"2ème circonscription";Alpes-Maritimes;"MACRON Emmanuel";03/02/2022
M.;ROUSSEL;Cédric;Député;"3ème circonscription";Alpes-Maritimes;"MACRON Emmanuel";03/02/2022
M.;SEGURA;Joseph;Maire;Saint-Laurent-du-Var;Alpes-Maritimes;"MACRON Emmanuel";03/02/2022
M.;CETTIER;Patrick;Maire;Lemps;Ardèche;"MACRON Emmanuel";03/02/2022
M.;ROCHETTE;Didier;Maire;Chanéac;Ardèche;"MACRON Emmanuel";03/02/2022
M.;JARLOT;Jean-Pierre;Maire;Éteignières;Ardennes;"MACRON Emmanuel";03/02/2022
M.;LEROY;Miguel;Maire;Auvillers-les-Forges;Ardennes;"MACRON Emmanuel";03/02/2022
M.;SIMON;Didier;Maire;Château-Porcien;Ardennes;"MACRON Emmanuel";03/02/2022
M.;GENTILHOMME;Stéphane;Maire;Fralignes;Aube;"MACRON Emmanuel";03/02/2022
M.;COMBIS;Didier;Maire;Magrie;Aude;"MACRON Emmanuel";03/02/2022
Mme;HERIN;Danièle;Députée;"1ère circonscription";Aude;"MACRON Emmanuel";03/02/2022
Mme;BLANC;Anne;Députée;"2ème circonscription";Aveyron;"MACRON Emmanuel";03/02/2022
M.;MAZARS;Stéphane;Député;"1ère circonscription";Aveyron;"MACRON Emmanuel";03/02/2022
Mme;AGRESTI-ROUBACHE;Sabrina;"Conseillère régionale";"Provence-Alpes-Cote D'Azur";Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
Mme;BULTEAU-RAMBAUD;Marie-Florence;"Conseillère régionale";"Provence-Alpes-Cote D'Azur";Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
Mme;GIACOMAZZI;Valérie;"Conseillère régionale";"Provence-Alpes-Cote D'Azur";Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
M.;LAQHILA;Mohamed;Député;"11ème circonscription";Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
Mme;LOUIS;Alexandra;Députée;"3ème circonscription";Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
M.;MAS-FRAISSINET;Bertrand;"Conseiller régional";"Provence-Alpes-Cote D'Azur";Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
M.;PERRIN;Jean-Marc;"Conseiller départemental";;Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
M.;SERRUS;Jean-Pierre;Maire;"La Roque-d'Anthéron";Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
M.;VIDAL;Yves;"Conseiller départemental";;Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
M.;ZULESI;Jean-Marc;Député;"8ème circonscription";Bouches-du-Rhône;"MACRON Emmanuel";03/02/2022
M.;"ANDREU SABATER";Marc;Maire;"Vire Normandie";Calvados;"MACRON Emmanuel";03/02/2022
M.;AUGIER;Philippe;Maire;Deauville;Calvados;"MACRON Emmanuel";03/02/2022
M.;AVOYNE;Pierre;Maire;Norolles;Calvados;"MACRON Emmanuel";03/02/2022
M.;BOUYX;Bertrand;Député;"5ème circonscription";Calvados;"MACRON Emmanuel";03/02/2022
Mme;BURGAT;Hélène;Maire;Mondeville;Calvados;"MACRON Emmanuel";03/02/2022
M.;CHARBONNEAU;Benoît;Maire;Moyaux;Calvados;"MACRON Emmanuel";03/02/2022
M.;DUVAL;Tristan;Maire;Cabourg;Calvados;"MACRON Emmanuel";03/02/2022
Mme;GADENNE;Audrey;"Conseillère départementale";;Calvados;"MACRON Emmanuel";03/02/2022
M.;LOINARD;Frédéric;Maire;Colleville-Montgomery;Calvados;"MACRON Emmanuel";03/02/2022
M.;MARIE;Serge;Maire;Cresseveuille;Calvados;"MACRON Emmanuel";03/02/2022
M.;PIAT;Dominique;Maire;Bellengreville;Calvados;"MACRON Emmanuel";03/02/2022
M.;SERARD;Pascal;Maire;Carpiquet;Calvados;"MACRON Emmanuel";03/02/2022
M.;VAY;Bruno;Maire;Saint-Étienne-la-Thillaye;Calvados;"MACRON Emmanuel";03/02/2022
M.;TEYSSEDOU;Michel;Maire;Parlan;Cantal;"MACRON Emmanuel";03/02/2022
M.;DUBOJSKI;Michel;Maire;Baignes-Sainte-Radegonde;Charente;"MACRON Emmanuel";03/02/2022
M.;DUPRÉ;Jean-Noël;Maire;Confolens;Charente;"MACRON Emmanuel";03/02/2022
Mme;GOREAU;"Chantale Joële Maryse";Maire;Fouquebrune;Charente;"MACRON Emmanuel";03/02/2022
M.;LAFARGE;Patrick;Maire;Chassors;Charente;"MACRON Emmanuel";03/02/2022
M.;MESNIER;Thomas;Député;"1ère circonscription";Charente;"MACRON Emmanuel";03/02/2022
M.;PASIERB;Ludovic;Maire;Birac;Charente;"MACRON Emmanuel";03/02/2022
Mme;RICHAUD;Emilie;"Conseillère départementale";;Charente;"MACRON Emmanuel";03/02/2022
M.;ALGAY;Jean-Luc;Maire;L'Houmeau;Charente-Maritime;"MACRON Emmanuel";03/02/2022
M.;ARDOUIN;Jean-Philippe;Député;"3ème circonscription";Charente-Maritime;"MACRON Emmanuel";03/02/2022
M.;GÉRARD;Raphaël;Député;"4ème circonscription";Charente-Maritime;"MACRON Emmanuel";03/02/2022
Mme;TUFFNELL;Frédérique;Députée;"2ème circonscription";Charente-Maritime;"MACRON Emmanuel";03/02/2022
M.;CORMIER-BOULIGEON;François;Député;"1ère circonscription";Cher;"MACRON Emmanuel";03/02/2022
Mme;ESSAYAN;Nadia;Députée;"2ème circonscription";Cher;"MACRON Emmanuel";03/02/2022
M.;LESCURE;Philippe;"Conseiller départemental";;Corrèze;"MACRON Emmanuel";03/02/2022
M.;LECA;Barthélémy;Maire;Serriera;Corse-du-Sud;"MACRON Emmanuel";03/02/2022
M.;ORSUCCI;Jean-Charles;Maire;Bonifacio;Corse-du-Sud;"MACRON Emmanuel";03/02/2022
M.;GALLETTI;Joseph;Maire;Lucciana;Haute-Corse;"MACRON Emmanuel";03/02/2022
M.;GRAZIANI;Christophe;Maire;Bigorno;Haute-Corse;"MACRON Emmanuel";03/02/2022
M.;DELOGE;Gabriel;Maire;Soissons-sur-Nacey;Côte-d'Or;"MACRON Emmanuel";03/02/2022
M.;DUPONT;Dominique;Maire;Brochon;Côte-d'Or;"MACRON Emmanuel";03/02/2022
M.;ESTIVALET;Jean-René;Maire;Étaules;Côte-d'Or;"MACRON Emmanuel";03/02/2022
M.;GRIMPRET;Dominique;Maire;Ahuy;Côte-d'Or;"MACRON Emmanuel";03/02/2022
M.;MAYER;Cyril;Maire;Sainte-Colombe-sur-Seine;Côte-d'Or;"MACRON Emmanuel";03/02/2022
Mme;PAUPERT;Valérie;Maire;Barbirey-sur-Ouche;Côte-d'Or;"MACRON Emmanuel";03/02/2022
M.;PIESVAUX;Eric;Maire;Pouilly-en-Auxois;Côte-d'Or;"MACRON Emmanuel";03/02/2022
Mme;PUGLIESE;Marie-Thérèse;"Conseillère départementale";;Côte-d'Or;"MACRON Emmanuel";03/02/2022
M.;SÉRAFIN;Jean-Paul;Maire;Arcenant;Côte-d'Or;"MACRON Emmanuel";03/02/2022
Mme;ZITO;Florence;Maire;Saint-Nicolas-lès-Cîteaux;Côte-d'Or;"MACRON Emmanuel";03/02/2022
M.;ALLAIN;Olivier;"Conseiller régional";Bretagne;Côtes-d'Armor;"MACRON Emmanuel";03/02/2022
M.;BERVILLE;Hervé;Député;"2ème circonscription";Côtes-d'Armor;"MACRON Emmanuel";03/02/2022
M.;BOTHOREL;Eric;Député;"5ème circonscription";Côtes-d'Armor;"MACRON Emmanuel";03/02/2022
M.;JOBIC;Cyril;Maire;Calanhel;Côtes-d'Armor;"MACRON Emmanuel";03/02/2022
M.;LEBORGNE;Maxime;Maire;Pluduno;Côtes-d'Armor;"MACRON Emmanuel";03/02/2022
M.;"LE JEUNE";Joël;Maire;Trédrez-Locquémeau;Côtes-d'Armor;"MACRON Emmanuel";03/02/2022
M.;CUBERTAFON;Jean-Pierre;Député;"3ème circonscription";Dordogne;"MACRON Emmanuel";03/02/2022
M.;DELAGE;Hervé;Maire;Monsaguel;Dordogne;"MACRON Emmanuel";03/02/2022
M.;PASSERIEUX;Jean-Pierre;"Maire délégué d'une commune associée ou d'une commune déléguée";"Boulazac Isle Manoire";Dordogne;"MACRON Emmanuel";03/02/2022
M.;TRIQUART;Stéphane;Maire;Mussidan;Dordogne;"MACRON Emmanuel";03/02/2022
M.;ALAUZET;Eric;Député;"2ème circonscription";Doubs;"MACRON Emmanuel";03/02/2022
M.;ALPY;Philippe;Maire;Frasne;Doubs;"MACRON Emmanuel";03/02/2022
Mme;BARTHELET;Catherine;"Conseillère régionale";Bourgogne-Franche-Comté;Doubs;"MACRON Emmanuel";03/02/2022
M.;BLESSEMAILLE;Alain;Maire;Braillans;Doubs;"MACRON Emmanuel";03/02/2022
M.;GOMES;Samuel;Maire;Badevel;Doubs;"MACRON Emmanuel";03/02/2022
M.;MICHAUD;Jean-Paul;Maire;Thoraise;Doubs;"MACRON Emmanuel";03/02/2022
M.;TIROLE;Marc;Maire;Dampierre-les-Bois;Doubs;"MACRON Emmanuel";03/02/2022
M.;BUIS;Bernard;Sénateur;;Drôme;"MACRON Emmanuel";03/02/2022
M.;CATELINOIS;Jean-Michel;Maire;Saint-Paul-Trois-Châteaux;Drôme;"MACRON Emmanuel";03/02/2022
Mme;CHARMET;Martine;"Conseillère départementale";;Drôme;"MACRON Emmanuel";03/02/2022
Mme;"DE LAVERGNE";Célia;Députée;"3ème circonscription";Drôme;"MACRON Emmanuel";03/02/2022
M.;JEUNE;Alain;Maire;Vesc;Drôme;"MACRON Emmanuel";03/02/2022
M.;MERY;Patrice;Maire;Montbrison-sur-Lez;Drôme;"MACRON Emmanuel";03/02/2022
M.;MONTAGNE;Ludwig;Maire;Saint-Barthélemy-de-Vals;Drôme;"MACRON Emmanuel";03/02/2022
Mme;BERTOU;Aline;Maire;Frenelles-en-Vexin;Eure;"MACRON Emmanuel";03/02/2022
M.;BOUCHER;Dominique;Maire;Bouquelon;Eure;"MACRON Emmanuel";03/02/2022
Mme;BOURGEOIS;Liliane;Maire;Saint-Pierre-la-Garenne;Eure;"MACRON Emmanuel";03/02/2022
Mme;"DE TOMASI";Jocelyne;"Conseillère départementale";;Eure;"MACRON Emmanuel";03/02/2022
M.;DURAND;Thomas;Maire;Vexin-sur-Epte;Eure;"MACRON Emmanuel";03/02/2022
M.;ERRAMMACH;Youssef;Maire;Bois-le-Roi;Eure;"MACRON Emmanuel";03/02/2022
M.;GUIRLIN;Jean-Louis;Maire;Saint-Georges-Motel;Eure;"MACRON Emmanuel";03/02/2022
Mme;JEANNE;Danielle;Maire;Aulnay-sur-Iton;Eure;"MACRON Emmanuel";03/02/2022
M.;JOLLY;Pascal;Maire;Gasny;Eure;"MACRON Emmanuel";03/02/2022
Mme;OUADAH;Hafidha;"Conseillère régionale";Normandie;Eure;"MACRON Emmanuel";03/02/2022
M.;ROUSSELET;Antoine;Maire;"La Chapelle-Longueville";Eure;"MACRON Emmanuel";03/02/2022
Mme;TAMARELLE-VERHAEGHE;Marie;Députée;"3ème circonscription";Eure;"MACRON Emmanuel";03/02/2022
M.;BLONSKY;Thomas;Maire;Chapelle-Royale;Eure-et-Loir;"MACRON Emmanuel";03/02/2022
Mme;DELASSAU;Nicole;Maire;"Les Autels-Villevillon";Eure-et-Loir;"MACRON Emmanuel";03/02/2022
M.;LAMIRAULT;Luc;Député;"3ème circonscription";Eure-et-Loir;"MACRON Emmanuel";03/02/2022
Mme;PISTRE;Brigitte;Maire;Frazé;Eure-et-Loir;"MACRON Emmanuel";03/02/2022
M.;BRÉHIER;Tristan;"Conseiller régional";Bretagne;Finistère;"MACRON Emmanuel";03/02/2022
M.;DECOURCHELLE;Alain;Maire;Pluguffan;Finistère;"MACRON Emmanuel";03/02/2022
Mme;HAVET;Nadège;Sénatrice;;Finistère;"MACRON Emmanuel";03/02/2022
M.;LARSONNEUR;Jean-Charles;Député;"2ème circonscription";Finistère;"MACRON Emmanuel";03/02/2022
Mme;"LE MEUR";Annaïg;Députée;"1ère circonscription";Finistère;"MACRON Emmanuel";03/02/2022
Mme;MELCHIOR;Graziella;Députée;"5ème circonscription";Finistère;"MACRON Emmanuel";03/02/2022
Mme;TANGUY;Liliane;Députée;"7ème circonscription";Finistère;"MACRON Emmanuel";03/02/2022
Mme;TOURNIER;Emmanuelle;"Conseillère départementale";;Finistère;"MACRON Emmanuel";03/02/2022
M.;CELLIER;Anthony;Député;"3ème circonscription";Gard;"MACRON Emmanuel";03/02/2022
M.;CHAPELET;Jean-Yves;Maire;Bagnols-sur-Cèze;Gard;"MACRON Emmanuel";03/02/2022
M.;CRUVEILLER;Fabien;Maire;Cardet;Gard;"MACRON Emmanuel";03/02/2022
Mme;DAUFÈS-ROUX;Catherine;Députée;"5ème circonscription";Gard;"MACRON Emmanuel";03/02/2022
M.;DEBOUVERIE;Michel;Maire;Combas;Gard;"MACRON Emmanuel";03/02/2022
M.;REY;Jean-Christian;"Président d'un EPCI à fiscalité propre";"CA du Gard Rhodanien";Gard;"MACRON Emmanuel";03/02/2022
M.;CAZENEUVE;Jean-René;Député;"1ère circonscription";Gers;"MACRON Emmanuel";03/02/2022
Mme;"THIEUX LOUIT";Véronique;Maire;Lupiac;Gers;"MACRON Emmanuel";03/02/2022
M.;BOUDIÉ;Florent;Député;"10ème circonscription";Gironde;"MACRON Emmanuel";03/02/2022
M.;CLAVERIE;Dominique;Maire;Martillac;Gironde;"MACRON Emmanuel";03/02/2022
Mme;COUILLARD;Bérangère;Députée;"7ème circonscription";Gironde;"MACRON Emmanuel";03/02/2022
Mme;DAVID;Dominique;Députée;"1ère circonscription";Gironde;"MACRON Emmanuel";03/02/2022
M.;GREZE;André;Maire;Castelmoron-d'Albret;Gironde;"MACRON Emmanuel";03/02/2022
M.;ROBERT;Fabien;"Conseiller régional";Nouvelle-Aquitaine;Gironde;"MACRON Emmanuel";03/02/2022
Mme;SAVIN;Béatrice;Maire;Civrac-en-Médoc;Gironde;"MACRON Emmanuel";03/02/2022
M.;DÉMOULIN;Nicolas;Député;"8ème circonscription";Hérault;"MACRON Emmanuel";03/02/2022
M.;HUPPE;Philippe;Député;"5ème circonscription";Hérault;"MACRON Emmanuel";03/02/2022
M.;"DE GOUVION SAINT CYR";Aymar;"Conseiller départemental";;Ille-et-Vilaine;"MACRON Emmanuel";03/02/2022
Mme;MAILLART-MÉHAIGNERIE;Laurence;Députée;"2ème circonscription";Ille-et-Vilaine;"MACRON Emmanuel";03/02/2022
M.;MELLET;Yvon;Maire;Teillay;Ille-et-Vilaine;"MACRON Emmanuel";03/02/2022
M.;MINIER;Vincent;Maire;Chanteloup;Ille-et-Vilaine;"MACRON Emmanuel";03/02/2022
M.;REGNIER;Teddy;Maire;Châteaubourg;Ille-et-Vilaine;"MACRON Emmanuel";03/02/2022
M.;GOURLAY;Philippe;Maire;Roussines;Indre;"MACRON Emmanuel";03/02/2022
M.;ALFANDARI;Henri;"Conseiller départemental";;Indre-et-Loire;"MACRON Emmanuel";03/02/2022
M.;BRUN;Hugues;Maire;Savigné-sur-Lathan;Indre-et-Loire;"MACRON Emmanuel";03/02/2022
M.;CESSAC;Jean-François;Maire;Larçay;Indre-et-Loire;"MACRON Emmanuel";03/02/2022
M.;CHAPOTON;Gilles;Maire;Draché;Indre-et-Loire;"MACRON Emmanuel";03/02/2022
M.;CHATELLIER;Richard;Maire;Nazelles-Négron;Indre-et-Loire;"MACRON Emmanuel";03/02/2022
Mme;COLBOC;Fabienne;Députée;"4ème circonscription";Indre-et-Loire;"MACRON Emmanuel";03/02/2022
M.;LABARONNE;Daniel;Député;"2ème circonscription";Indre-et-Loire;"MACRON Emmanuel";03/02/2022
M.;POUJAUD;Daniel;Maire;Ports-sur-Vienne;Indre-et-Loire;"MACRON Emmanuel";03/02/2022
M.;TALLAND;Maurice;Maire;Jaulnay;Indre-et-Loire;"MACRON Emmanuel";03/02/2022
Mme;THILLAYE;Sabine;Députée;"5ème circonscription";Indre-et-Loire;"MACRON Emmanuel";03/02/2022
Mme;CHALAS;Emilie;Députée;"3ème circonscription";Isère;"MACRON Emmanuel";03/02/2022
Mme;GALLIARD-MINIER;Camille;Députée;"1ère circonscription";Isère;"MACRON Emmanuel";03/02/2022
M.;ILTIS;Laurent;Maire;Pact;Isère;"MACRON Emmanuel";03/02/2022
M.;KECHICHIAN;Max;Maire;Serpaize;Isère;"MACRON Emmanuel";03/02/2022
M.;RAMBAUD;Didier;Sénateur;;Isère;"MACRON Emmanuel";03/02/2022
M.;BOREL;Laurent;Maire;Saint-Jean-Froidmentel;Loir-et-Cher;"MACRON Emmanuel";03/02/2022
M.;FROMET;Michel;"Conseiller départemental";;Loir-et-Cher;"MACRON Emmanuel";03/02/2022
M.;GOUTX;Alain;Maire;Pouillé;Loir-et-Cher;"MACRON Emmanuel";03/02/2022
M.;LOMBARDI;Daniel;Maire;Yvoy-le-Marron;Loir-et-Cher;"MACRON Emmanuel";03/02/2022
M.;MARION;Christophe;Maire;Saint-Ouen;Loir-et-Cher;"MACRON Emmanuel";03/02/2022
Mme;PELLE;Christelle;Maire;Autainville;Loir-et-Cher;"MACRON Emmanuel";03/02/2022
M.;BERTHELIER;Bruno;Maire;Charlieu;Loire;"MACRON Emmanuel";03/02/2022
M.;KAUFFER;David;Maire;Saint-Romain-les-Atheux;Loire;"MACRON Emmanuel";03/02/2022
Mme;SARLES;Nathalie;Députée;"5ème circonscription";Loire;"MACRON Emmanuel";03/02/2022
M.;TISSOT;"Jean Paul";Maire;Veauchette;Loire;"MACRON Emmanuel";03/02/2022
Mme;BRUNET;Anne-France;Députée;"3ème circonscription";Loire-Atlantique;"MACRON Emmanuel";03/02/2022
M.;"DE RUGY";François;Député;"1ère circonscription";Loire-Atlantique;"MACRON Emmanuel";03/02/2022
Mme;"DUFEU SCHUBERT";Audrey;Députée;"8ème circonscription";Loire-Atlantique;"MACRON Emmanuel";03/02/2022
M.;GEISMAR;Luc;Député;"5ème circonscription";Loire-Atlantique;"MACRON Emmanuel";03/02/2022
M.;HAURY;Yannick;Député;"9ème circonscription";Loire-Atlantique;"MACRON Emmanuel";03/02/2022
M.;AUGER;Michel;Maire;Bonnée;Loiret;"MACRON Emmanuel";03/02/2022
M.;BONNIEZ;Christophe;Maire;Briarres-sur-Essonne;Loiret;"MACRON Emmanuel";03/02/2022
M.;DESCHAMPS;Jean-François;"Président d'un EPCI à fiscalité propre";"CC de la Forêt";Loiret;"MACRON Emmanuel";03/02/2022
Mme;JANVIER;Caroline;Députée;"2ème circonscription";Loiret;"MACRON Emmanuel";03/02/2022
Mme;RIST;Stéphanie;Députée;"1ère circonscription";Loiret;"MACRON Emmanuel";03/02/2022
M.;COURTIN;Jean-Marie;Maire;Gourdon;Lot;"MACRON Emmanuel";03/02/2022
M.;MAGOT;Stéphane;Maire;Peyrilles;Lot;"MACRON Emmanuel";03/02/2022
M.;REQUIER;Jean-Claude;Sénateur;;Lot;"MACRON Emmanuel";03/02/2022
M.;VIGIE;Claude;Maire;Milhac;Lot;"MACRON Emmanuel";03/02/2022
M.;DAMAISIN;Olivier;Député;"3ème circonscription";Lot-et-Garonne;"MACRON Emmanuel";03/02/2022
M.;"DIONIS DU SÉJOUR";Jean;Maire;Agen;Lot-et-Garonne;"MACRON Emmanuel";03/02/2022
M.;LAUZZANA;Michel;Député;"1ère circonscription";Lot-et-Garonne;"MACRON Emmanuel";03/02/2022
M.;SUAU;Laurent;Maire;Mende;Lozère;"MACRON Emmanuel";03/02/2022
M.;CARDOT;Philippe;Maire;Montreuil-sur-Loir;Maine-et-Loire;"MACRON Emmanuel";03/02/2022
